"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Comoros","COM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0","0.03787097","0.148162964","0.271740607","0.443068373","0.554869675","0.84818937","1.327327178","2","2.2","2.5","3","3.5","5.1","5.5","5.975296308","6.5","6.98","7.459161386","7.938322771","8.478170295","","","",
"Cabo Verde","CPV","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.24096792","0.472735008","1.159982461","1.822443852","2.685332713","3.518757175","4.324885391","5.31883207","6.074087107","6.808911008","8.28321982","14","21","30","32","34.74","37.5","40.26","42.68301416","50.32281787","57.16214635","","","",
"Costa Rica","CRI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.001113325","0.081509754","0.279912479","0.416829206","0.84105704","1.640221288","2.666378698","3.904323257","5.800253023","9.559482135","19.89485113","20.33361481","20.79230671","22.07","25.1","28.4","32.29","34.33","36.5","39.212196","47.5","45.96","53","59.76295014","65.88044919","71.58166462","73.47972844","81.20259644","",
"Caribbean small states","CSS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.192745493955316","0.552033163495472","0.900278278951301","1.93921057136022","3.36610418226324","4.91930591106778","8.30408436946586","11.7495839062206","14.9038067909455","16.8171367688713","19.4232960243223","22.2926656186356","24.4998464040913","27.6679876313022","31.7508974648875","35.3910946256284","42.1412538804617","42.4939916495827","45.2698401409788","48.3336918473278","50.295468139717","52.9532109498586","59.524759245663","","","",
"Cuba","CUB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","9.17E-05","0.031949001","0.068220214","0.226699199","0.314690541","0.541182549","1.079751722","3.770585038","5.241269054","8.407984759","9.738062208","11.15960131","11.69","12.94","14.33","15.9","16.0172908","21.2","27.93","29.07018437","37.30509742","42.97867519","57.14840432","62.67892362","61.83630006","",
"Curacao","CUW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.85551074","68.12721625","","","",
"Cayman Islands","CYM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0","0","3.948967193","","","","","","","","","","38.03438308","44.5","52","61","64.5","66","69.46594499","69.7","71.4","74.1","77","79","81.06769325","","","",
"Cyprus","CYP","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.05006043","0.056367482","0.111034621","0.410120685","0.673343541","4.378272095","8.890539159","11.34239866","15.25539437","18.81875904","28.32","30.09","33.83","32.81","35.83","40.77","42.31","49.81","52.99","56.85989235","60.6898684","65.4548","69.33","71.71574092","75.9002054","80.74318897","84.43358252","86.06362996","",
"Czech Republic","CZE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.581319529","1.259217838","1.45357584","1.940378193","2.915698695","3.895906065","6.832802018","9.780527888","14.69717212","23.93","34.3","35.5","35.27","47.93","51.93","62.97","64.43","68.82","70.49","73.43000782","74.1104","74.23171164","75.6688387","76.4811987","78.71917285","80.68816754","80.86694441","",
"Germany","DEU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.125892223","0.250274153","0.43528529","0.463635096","0.922541043","1.837737754","3.054805234","6.711087477","9.877852428","20.84598264","30.2163466","31.65093942","48.82","55.9","64.73","68.71","72.16","75.16","78","79","82","81.26999954","82.34999847","84.17","86.19","87.58979935","84.16520664","84.3941537","87.03711209","88.13451691","",
