Country Name,Country Code,Indicator Name,2014,2015,2016,2017,2018,2019,2020
Kenya,KEN,"Literacy rate, adult total (% of people ages 15 and above)",78.73303986,,,,81.53497314,,
Kyrgyz Republic,KGZ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.58599854,,
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",78.05509186,80.52648926,,,,,
Kiribati,KIR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
St. Kitts and Nevis,KNA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
"Korea, Rep.",KOR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Kuwait,KWT,"Literacy rate, adult total (% of people ages 15 and above)",,95.68544769,,96.03594971,96.05647278,,
Latin America & Caribbean (excluding high income),LAC,"Literacy rate, adult total (% of people ages 15 and above)",92.76419067,92.95179749,93.42559052,93.57028198,93.72753143,94.17028046,
Lao PDR,LAO,"Literacy rate, adult total (% of people ages 15 and above)",,84.66104126,,,,,
Lebanon,LBN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,95.06944275,,
Liberia,LBR,"Literacy rate, adult total (% of people ages 15 and above)",,,,48.30136108,,,
Libya,LBY,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
St. Lucia,LCA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Latin America & Caribbean,LCN,"Literacy rate, adult total (% of people ages 15 and above)",92.94821167,93.13275146,93.59496307,93.70874786,93.86865997,94.29450989,
Least developed countries: UN classification,LDC,"Literacy rate, adult total (% of people ages 15 and above)",59.62564087,60.87612152,62.89241028,63.68294144,64.27587891,64.85780334,
Low income,LIC,"Literacy rate, adult total (% of people ages 15 and above)",58.02705002,58.5800209,59.28538895,60.10514832,60.49671173,60.95804977,
Liechtenstein,LIE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Sri Lanka,LKA,"Literacy rate, adult total (% of people ages 15 and above)",,,92.38690186,91.89575195,91.70982361,,
Lower middle income,LMC,"Literacy rate, adult total (% of people ages 15 and above)",72.8635788,73.63826752,74.35328674,75.00414276,75.431633,75.96756744,
Low & middle income,LMY,"Literacy rate, adult total (% of people ages 15 and above)",82.93345642,83.14720154,83.6880188,83.97683716,84.00708771,84.29309082,
Lesotho,LSO,"Literacy rate, adult total (% of people ages 15 and above)",76.6352005,,,,,,
Late-demographic dividend,LTE,"Literacy rate, adult total (% of people ages 15 and above)",95.53117371,95.6782608,95.87560272,96.01103973,96.15605927,96.34008026,
Lithuania,LTU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Luxembourg,LUX,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Latvia,LVA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.88931274,,
"Macao SAR, China",MAC,"Literacy rate, adult total (% of people ages 15 and above)",,,96.5384903,,,,
St. Martin (French part),MAF,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Morocco,MAR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,73.75000763,,
Monaco,MCO,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Moldova,MDA,"Literacy rate, adult total (% of people ages 15 and above)",99.3598938,,,,,,
Madagascar,MDG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,74.80432129,,
Maldives,MDV,"Literacy rate, adult total (% of people ages 15 and above)",98.61012268,,97.7349472,,,,
Middle East & North Africa,MEA,"Literacy rate, adult total (% of people ages 15 and above)",81.14234161,79.43242645,80.45519257,81.52539825,78.98143005,79.31014252,
Mexico,MEX,"Literacy rate, adult total (% of people ages 15 and above)",94.55587769,94.47228241,94.85961914,94.97277832,95.37991333,,
Marshall Islands,MHL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Middle income,MIC,"Literacy rate, adult total (% of people ages 15 and above)",84.99931335,85.21755219,85.77729034,86.05455017,86.08866119,86.39626312,
North Macedonia,MKD,"Literacy rate, adult total (% of people ages 15 and above)",97.80000305,,,,,,
Mali,MLI,"Literacy rate, adult total (% of people ages 15 and above)",,33.06888962,,,35.47377014,,
Malta,MLT,"Literacy rate, adult total (% of people ages 15 and above)",,,,,94.50318909,,
Myanmar,MMR,"Literacy rate, adult total (% of people ages 15 and above)",,,75.55120087,,,,
Middle East & North Africa (excluding high income),MNA,"Literacy rate, adult total (% of people ages 15 and above)",78.79463196,76.62332153,77.81655884,79.03476715,75.96434021,76.34240723,
Montenegro,MNE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,98.84718323,,
Mongolia,MNG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,98.42311859,,
Northern Mariana Islands,MNP,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Mozambique,MOZ,"Literacy rate, adult total (% of people ages 15 and above)",,56.03900146,,60.65542984,,,
Mauritania,MRT,"Literacy rate, adult total (% of people ages 15 and above)",,,,53.49758911,,,
Mauritius,MUS,"Literacy rate, adult total (% of people ages 15 and above)",92.47476196,92.70760345,93.15783691,,91.32539368,,
Malawi,MWI,"Literacy rate, adult total (% of people ages 15 and above)",65.14537048,62.14353943,,,,,
Malaysia,MYS,"Literacy rate, adult total (% of people ages 15 and above)",,,94.88057709,95.08264923,94.85440826,,
North America,NAC,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Namibia,NAM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,91.52726746,,
New Caledonia,NCL,"Literacy rate, adult total (% of people ages 15 and above)",97.80000305,,,,,,
Niger,NER,"Literacy rate, adult total (% of people ages 15 and above)",,,,,35.04999924,,
Nigeria,NGA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,62.01601028,,
Nicaragua,NIC,"Literacy rate, adult total (% of people ages 15 and above)",,82.61454773,,,,,
Netherlands,NLD,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Norway,NOR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Nepal,NPL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,67.90843201,,
Nauru,NRU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
New Zealand,NZL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
OECD members,OED,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Oman,OMN,"Literacy rate, adult total (% of people ages 15 and above)",91.98120117,93.03861237,94.89998627,95.5759964,95.6515274,,
Other small states,OSS,"Literacy rate, adult total (% of people ages 15 and above)",83.30425262,84.69232178,84.61511993,84.82926178,85.06986237,85.36422729,
Pakistan,PAK,"Literacy rate, adult total (% of people ages 15 and above)",56.97714996,,,59.13204956,,,
Panama,PAN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,95.41181183,,
Peru,PER,"Literacy rate, adult total (% of people ages 15 and above)",93.70794678,94.16233826,94.17366791,94.14961243,94.40827179,,
Philippines,PHL,"Literacy rate, adult total (% of people ages 15 and above)",,98.18254852,,,,,
Palau,PLW,"Literacy rate, adult total (% of people ages 15 and above)",,96.59374237,,,,,
Papua New Guinea,PNG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Poland,POL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Pre-demographic dividend,PRE,"Literacy rate, adult total (% of people ages 15 and above)",60.59999847,59.66225052,61.96347046,62.92971039,62.00146866,62.55918121,
Puerto Rico,PRI,"Literacy rate, adult total (% of people ages 15 and above)",,,,92.38999939,,,
"Korea, Dem. People’s Rep.",PRK,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Portugal,PRT,"Literacy rate, adult total (% of people ages 15 and above)",,,,,96.1375885,,
Paraguay,PRY,"Literacy rate, adult total (% of people ages 15 and above)",95.03481293,95.55484009,94.65023804,,94.02079773,,
West Bank and Gaza,PSE,"Literacy rate, adult total (% of people ages 15 and above)",96.4283905,96.69072723,96.93022919,,97.21861267,,
Pacific island small states,PSS,"Literacy rate, adult total (% of people ages 15 and above)",90.94667816,91.01599121,91.14510345,91.27796936,91.29380798,,
Post-demographic dividend,PST,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
French Polynesia,PYF,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Qatar,QAT,"Literacy rate, adult total (% of people ages 15 and above)",91.3272171,,93.14530182,93.46396637,,,
Romania,ROU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,98.84449768,,
Russian Federation,RUS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.73005676,,
Rwanda,RWA,"Literacy rate, adult total (% of people ages 15 and above)",70.80413055,,,,73.21559143,,
